,product_details,variatal,size,region,vintage,standard_drinks,alcohol_volumne,country,brand,closure,style
309,"Aged 4yrs in American Oak ex Makers Mark barrels, our Single Malt Bourbon Cask brings rum and raisin aromas with a subtle vanilla and a spiced herb oak undertone. A wash of buttery warm caramels heat, hazelnut and oak finish with sweet dried fruits to engulf the palate, with a lengthy finish of bourbon heat and spiced oils.

This water of life tells a story, hence our Tasman Whisky is housed within in a gift box worthy of the high quality tomes of old. Its sits ready to be shelved as a volume of flavour, truly highlighting our subtle differences the salt air wafting through the distillery brings.

Ready to be housed among your collection proudly. 

At the edge of the Tasman Sea, where the old drovers hut Iron House once stood watchful, we’ve been carefully crafting our Single Malt Whisky’s over the last 4 years. Unleashed and disgorged from the darkened corners of the our bonding room and hand selected by Iron House Master Distiller, Michael Briggs, you will be treated to a full flavoured experience. 

In an age old tradition we have created our premium range of Whisky, our Spiritus Frumenti, for all to indulge in. TASMAN WHISKY is absolutely uncompromising and complex and 100% Tasmanian. Mindfully distilled within the confines of our copper still, it is the synergy between the purest malts sourced from the North of the state, the pristine waters of and the cleanest ocean air of Tasmania’s untainted East Coast that balance and mature our spirit perfectly.

Good whisky is naught but a lens. It is the drink for celebrating your best days and reflecting thoughtfully on your hardest. It’s a spirit that demands a careful and discerning approach.

It is our story, but it is your Whisky.
Tasman Whisky.

The Spirit of the East.",Whisky,700mL,East Coast Tasmania,26,47%,Australia,Tasmania,4 Year Old,,
310,"Glenglassaugh 40 Years Old, specially selected by Master Distiller Billy Walker, is an outstanding representation of this rare and enduring Highland single malt. Matured for over 40 years, this rich whisky has an abundance of of sweet tropical fruits and sophisticated sherry characters. Bottled at 42.5%, non chill filtered and at natural colour, this unique expression is full of character and complexity.

Colour: Deep gold.

Nose: An abundance of sweet syrupy tropical fruits; banana, pineapple and mango in perfect harmony with gentle Oloroso sherry.

Palate: Sweet, rich, syrupy and complex. Oloroso sherry, toffee apples, mango and banana sit beautifully in the mouth alongside ginger and cocoa spice.

Finish: Rich, spiced sherry.",Scotch Whiskey,700mL,Highland,24,42.5%,Scotland,40 Year Old,Glenglassaugh,,
311,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
312,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
313,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
314,no_information,no_information,no_information,no_information,50%,Scotland,Kilchoman,Cork,Single Malt,no_information,no_information
315,"Rich oak notes shaped this forty year old masterpiece from Balvenie. Malt Master David Stewart has skilfully married together small amounts of Scotch Whisky matured in 4 refill hogsheads and 3 sherry butts that have lain in the warehouses for at least forty years. Resulting in baked apple, stewed fruits like characters with soft leather. A silky smooth texture with a beautifully coating in the mouth. Sensational.",Scotch Whisky,700mL,Speyside,28.7,48.50%,Scotland,40 Year Old,The Balvenie,Cork,Single Malt
316,"Made at Linkwood distillery, this Speyside single malt has been matured for 15 years, before being bottled in 2019 by Gordon & MacPhail for its Distillery Labels series.",700mL,Speyside,23.7,43%,Scotland,15 Year Old,Gordon & MacPhail,Cork,Single Malt,no_information
317,"Tullibardine Sovereign signature single malt has been matured in first-fill ex-Bourbon barrels.
Tullibardine Sovereign is beautifully golden with floral, sweet barley notes and subtle hints of vanilla. On the finish, there is fudge, pear drops and soft spice.",Sovereign Single Malt,700mL,23.7,43.0%,Scotland,Tullibardine,Cork,Single Malt,Whisky Liqueurs,no_information
318,"After maturing for 10 years in Ireland in American Oak casks, the Irish single malt is shipped over to Scotland where it spends a few short months in casks that had previously matured heavily peated Islay malt (Laphroaig). These casks, though emptied, still retained a huge smokiness which is carried over.",Irish Whiskey,700mL,25.4,46.00%,Ireland,10 Year Old,Craoi Na Mona,Cork,Single Malt,no_information
319,"Delicate sweetness of salted caramel, liquorice, with waves of dark, coastal peat smoke building beneath. Port Askaig is a range of Islay single malt whiskies that embodies the unique spirit of Islay and its people. Its character brings together the robust smokiness and soft fruitiness found in this beguiling island. The range has been developed to appeal to the most discerning of whisky connoisseurs while also appealing to the novice whisky drinker. Port Askaig have selected exceptional casks of Islay single malt to create a range recognised as Islay classics.",700mL,Islay,25.3,45.8%,Scotland,8 Year Old,Port Askaig,Stopper,Single Malt,no_information
320,"Two profoundly different whiskies married in implausible harmony, create the rich, plum taste of Glenmorangie Grand Vintage Malt 1991. Aged for 26 years, the fourth release in our exclusive Bond House No. 1 Collection owes its fruity depths to two rare parcels of 1991 whisky which, ordinarily, would never be brought together. Long matured in bourbon casks, each was then finished for more than a decade – one in oloroso sherry casks for sweetness and spice, the other in burgundy casks for earthy and truffle notes. At first, their characters seem utterly incongruous. Yet, skilfully softened with a hint of whisky aged in new toasted oak, those contrasts unite in a limited-edition single malt whisky astonishingly mellow and deep.",700mL,Highland,23.7,43%,Scotland,26 Year Old,Glenmorangie,Stopper,Single Malt,no_information
321,no_information,Scotch Whisky,700mL,Speyside,22.1,40.00%,Scotland,Gordon & Macphail,Cork,Single Malt,no_information
322,no_information,700mL,Highland,23.8,43%,Scotland,10 Year Old,Teaninich,Cork,Single Malt,no_information
323,"This exceptional single malt draws its colour and flavour from maturation in smaller hogshead casks, allowing a greater surface area of wood to interact with the whisky to deliver an intricate character influenced by both Spanish and American oak casks. The depth of colour and complex flavour of Reflexion is derived from the use of first-fill casks, carefully selected for this distinctive expression to accentuate its aromas and flavours. Bold and full bodied, Reflexion is a celebration of floral and vanilla notes, punctuated with fresh apples and apricots.",Scotch Whisky,700mL,Highland,23.7,43%,Scotland,The Macallan,Single Malt,no_information,no_information
324,"It is Bladnoch's 200 Year Anniversary, celebrate with them by enjoying a drop of one of their three magical Single Malts. Bladnoch's rich, noble and ultra smooth Single Malt Scotch Whisky aged 15 years. Their award winning Master Distiller Ian Macmillan hand selects every cask to bring together this full-bodied expression. Matured in oloroso casks for a warm, sweet flavour. This is a tribute to rare, Lowland Single Malt Scotch Whisky.",Scotch Whisky,700mL,Lowland,25.8,46.70%,Scotland,15 Year Old,Bladnoch,Cork,Single Malt
325,no_information,Scotch Whisky,700mL,23.7,43.00%,Scotland,Glenkinchie,Screw Cap,Single Malt,no_information,no_information
326,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
327,"Beautifully structured and contemplative with a soft, sweet nose. This Cragganmore is charming throughout as it shows off the dry distillery character to the fullest. It has a compellingly intense palate that gradually dries in a clever interplay between oak and malt to a long, warming finish.",Scotch Whisky,700mL,Speyside,31,55.7%,Scotland,Cragganmore,Cork,Single Malt,no_information
328,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
329,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
330,"The three eyed raven, a human who once lived among the Children of the Forest beyond the Wall, has the power to see beyond the constraints of time to uncover the past and present stories of Westeros and even reveal flashes of the future. As those stories unfold to impart wisdom and knowledge, they are intertwined and woven into the tapestry of the Six Kingdoms, all while beyond the horizon and above the clouds the three eyed raven watches without a thousand eyes, and one.

Mortlach, Dufftown’s first legal distillery has equally been influenced by the people in its history. George and Alexander Cowie were integral influences for both the distillery and surrounding community, with George holding the esteemed title of Provost and Alexander developing Mortlach’s signature method to distill the spirit exactly 2.81 times a complex process as unique as the three eyed raven. Evocative of the past and crafted for the future, this fifteen year old Single Malt Scotch Whisky has been finished in ex bourbon casks, imparting a bold, smooth taste with notes of vanilla and spice befitting of those with a noble palate.",Scotch Whisky,700mL,Speyside,25.4,46%,Scotland,15 Year Old,Mortlach,Cork,Single Malt
331,"Glenmorangie 18 Year Old Scotch Whisky slips like silk over the tongue with a full, rounded flavour, starting with grapefruit & orange. The palate is then entranced with an accord of melting honey, creamy malt and aromatic florals that segue into the warm, syrupy nuttiness of hazelnuts and walnuts from the Oloroso sherry casks in which the whisky is matured. Savour the rich, sticky date and fig flavours as they are heightened by the unexpected caress of woodsmoke.",Scotch Whisky,700mL,Highland,23.7,43.00%,Scotland,18 Year Old,Glenmorangie,Cork,Single Malt
332,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,Single Malt,no_information,no_information
333,"Yamazaki is often referred to as being the pioneer of Japanese Whisky and is Suntory's flagship single malt. This whisky is spiratual and deep, its signature multi-layered taste is highly praised by whisky connoisseurs around the world. The Distiller's Reserve is mild with fresh fruit, vanilla, cinnamon and Mizunara (Japanese oak). This is a must for any whisky lover.",Japanese Whisky,700mL,23.7,43.00%,Japan,Yamazaki,Cork,Single Malt,no_information,no_information
334,"From the highest, coldest distillery in Scotland, Dalwhinnie 25 Year Old is limited to just 5,916 bottles world-wide. A creamy, aromatic and crisply focused mature Dalwhinnie that drinks very well, both straight and with a little water: well shaped, smoothly fragrant and with intriguing notes of hay and moorland; really clean and fresh for its age, it's drier and less honeyed than you may expect.",Scotch Whisky,700mL,Highland,27,48.80%,Scotland,25 Year Old,Dalwhinnie,Cork,Single Malt
335,"This elegant non-filtered single malt is initially matured in Bourbon casks, then extra matured or 'finished' in Port casks, to create the chocolate, minty notes of The Quinta Ruban. A dense and complex Scotch. 

This whisky offers a nose of rose scented Turkish delight, honeysuckle, tangerines and dark chocolate A soft, velvety texture leads to tastes of berries and nutmeg entwined with mint chocolate and Seville orange, then a bold and deep finish.",700 mL,Highland,25.5,46%,Scotland,14 Year Old,Glenmorangie,Cork,Single Malt,no_information
336,"The Glenfiddich 18 Year Old Ancient Reserve is a truly superb single malt aged in Oloroso (Sherry) and Bourbon casks. This has created an amazingly smooth, mellow, and full flavoured whisky.",Scotch Whisky,700mL,Speyside,22,40.00%,Scotland,18 Year Old,Glenfiddich,Synthetic Cork,Single Malt
337,"After ceasing production in 2015, The GlenDronach Revival Aged 15 years now returns to the core range of the distillery’s line-up. The expression embodies The GlenDronach’s signature style of Spanish Sherry Cask maturation in fine Pedro Ximénez and Oloroso sherry casks from Andalucía, quietly growing in stature for 15 years in the darkness of our dunnage warehouses.</ >< >In flavour, the expression offers sumptuous notes of dark fruits, rich chocolate and manuka honey with an enveloping, memorable finish worthy of this monumental malt’s history. This luxuriously sherried Highland Single Malt Scotch Whisky is bottled at 46% ABV, non-chill filtered and natural in colour.",Whisky,700mL,25.4,46%,Scotland,The GlenDronach,Single Malt,no_information,no_information,no_information
338,"Highland Park The Light 17 Year Old is a whisky inspired by spring and summer on Orkney, the follow up to 2017's The Dark. A 17-Year-old single malt matured in refill American oak casks delivering a delicious sweetness delivered through notes of pear, nutmeg and vanilla. The Light is beautifully packaged in a bespoke green glass, oak frame and booklet.",Scotch Whisky,700mL,29.2,52.9%,Scotland,17 Year Old,Highland Park,Single Malt,no_information,no_information
339,"Distilled, bottled and labelled by hand in the heart of the Coal River Valley, our Cask Strength 58% is shaped and carved by old-style Lark. Bold, wild and distinctive, it’s a true reflection of the Tasmanian landscape and the pioneering spirit of our makers.Double-distilled and matured in small casks, the Cask Strength features big flavours of dried fruit and butterscotch, a huge port cask influence, and hints of maple syrup with sweet notes of Tasmanian highland peat. A whisky for the adventurous at heart.",Australian Whisky,500mL,22.9,58.00%,Australia,Tasmania,Lark,Cork,Single Malt,no_information
340,"Produced in a small town off the west coast of Scotland, this single malt is crafted from a selection of the finest aged Jura single malt whiskies. Spices, honey, pine and peat combine with a hint of smoke to make a subtly sweet, yet smoky single malt.",Scotch Whisky,700mL,Highland,24,43.00%,Scotland,Jura,Screw Cap,Single Malt,no_information
341,"A brilliantly unqiue Scotch Whisky from Glenmorangie that is a non chill-filtered single malt that is initally matured in bourbon casks, then extra matured or 'finished' in Sauternes 'Barriques' to create luscious lemon and syrup flavours.",Scotch Whisky,700mL,Highland,Glenmorangie Nectar d'Or,25,46.00%,Scotland,Glenmorangie,Screw Cap,Single Malt
342,"Meaning 'Glen of the green grassland', Glenfarclas has an enviable reputation amongst Whisky lovers around the world. The 8 Year Old is vibrant and straw gold in colour, with fresh, sappy aromas of honey, almonds and butterscotch. A firm palate is maryied with a mild smokiness and a delicious malty, butterscotch finish.",Scotch Whisky,700mL,Speyside,22,40.00%,Scotland,8 Year Old,Glenfarclas,Screw Cap,Single Malt
343,"Inspired by Robert Burns - national poet of Scotland & a global Scottish icon; The official Robert Burns Whisky is a special bottling of the Arran Single Malt using a selection taken from the finest ex-Bourbon and ex-Cherry casks. With no artificial colouring, the result is smooth and rich on the palate.",Scotch Whisky,700mL,23.75,43.00%,Scotland,The Arran,Cork,Single Malt,no_information,no_information
344,no_information,no_information,700mL,22.1,40.00%,Taiwan,Kavalan,Screw Cap,Single Malt,no_information,no_information
345,"This new limited edition is a celebration of The Macallan whisky making heritage as they enter an exciting new era. The fourth release in this innovative annual Series, Edition No.4 embodies the craftsmanship and pioneering design of the new Macallan Distillery. It has flavours of nutmeg with wood spices and green cloves open up immediately, with a calm following the intense beginnings, leaving a sweet and vanilla viscous mouth coating. It finishes fruity with oaky sweetness, long and lasting.",Scotch Whisky,700mL,Speyside,26.7,48.4%,The Macallan,Single Malt,no_information,no_information,no_information
346,"Peated to a heavyweight 40PPM, Port Charlotte Scottish Barley is a multi-vintage cuvee crafted from casks hand-picked by Master Distiller Jim McEwan. It showcases the supreme elegance of this remarkable single malt - a union of the classic floral elegance of Bruichladdich and heavy peat. This whisky is a testament to belief that raw ingredients matter.",Scotch Whisky,700mL,Islay,27.6,50.00%,Scotland,Bruichladdich,Cork,Single Malt,no_information
347,"The Arran Malt Lochranza Reserve Single Malt Scotch Whisky is created the same distillery of Lochranza since it was built in 1995. It is bottled at a higher ABV, with emphasis on sweet fruit notes which are the hallmark of the distillery.",Scotch Whisky,700mL,23.7,43.00%,Scotland,The Arran,Cork,Single Malt,no_information,no_information
348,"Consists of 14 Year Old Single Malt Irish whiskey distilled in 2002 initially matured in Bourbon barrels for the first 13 Years before it was given an extra years maturation in ex-Pineau Des Charentes casks. Bottled with no chill filtration creates a truly unique Irish whiskey taste experience. The third limited edition bottling in The Revival Commemorative Series. Limited to 10,000 decanter bottles with premium secondary packaging to ensure on-shelf stand out.",Irish Whiskey,700mL,25.4,46,Ireland,Teeling,Cork,Single Malt,no_information,no_information
349,"The limited edition Glenlivet 12YO is the perfectly balanced, creamy-smooth and fruity flavour of this classic expression that inspired composer Joanthan Goldstein to create a musical piece, which was then interpreted into art by painter Jack Coulter. Vibrantly gold in colour, this whiskey entices you in. A silky, vanilla sweetness dances across your palate, followed by rich fruit and subtle marzipan and spice, intensifying your flavour experience.",700mL,Speyside,22,40%,Scotland,12 Year Old,The Glenlivet,Seared scallops,Cork,Single Malt
350,An elegant and sophisticated style of Irish malt whiskey; Tyrconnell has a full and fruity aroma and citrus spiciness taste. An un-peated Single Malt Irish Whiskey with its origin dating back to 1762 at The Watts distillery which had a proud tradition of producing great whiskies.,Irish Whiskey,700mL,22.1,40.00%,Ireland,Tyrconnell,Single Malt,no_information,no_information,no_information
351,"Boasting the classic flavours of The Glenlivet bound up in a creamy, smooth texture, The Glenlivet Founder's Reserve is a tribute to founder George Smith. This smooth, well-balanced single malt whisky is now available with two beautiful whisky glasses. Pack includes a 700ml bottle of The Glenlivet Founders Reserve and two whisky glasses.",Scotch Whisky,700mL,Speyside,22.1,40.00%,Scotland,The Glenlivet,Cork,Single Malt,no_information
352,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
353,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,Single Malt,Whisky Liqueurs
354,"Whisky: Spring Bay Single Malt – ex Bourbon Cask
ABV: 46%
Tasting notes courtesy of Mark Nicholson
Colour: Bright gold
Nose: Immediate sweet notes of vanilla and crème brulee with fruity and
herbaceous undertones.
Palate: From a bright and sweet opening the flavours build across the palate
to a rich, clean alcohol-driven crescendo culminating in a big, warm
and comforting glow of spicy tannin hints and peach flesh.
Finish: Long and warm with the afterglow fading into semi-sweet caramel and
lingering stone-fruit tingles",Bourbon Cask Matured,700mL,East Coast Tasmania,25,46%,Australia,Tasmania,Spring Bay Distiller,Cork,Single Malt
355,"From Suntory's mountain forest distillery, Hakushu Whisky is the fresh  and gently smoky single malt whisky with herbal notes  that is the revelation of Japanese single malts. Hakushu 18 Year Old has a fresh deep aroma from long maturation resulting in a milk caramel and honey-like flavour on the palate and ripened fruit finish.",Japanese Whisky,700mL,24,43%,Japan,18 Year Old,Hakushu,Twist Top,Single Malt,no_information
356,no_information,no_information,no_information,26,46.5%,Scotland,The Macallan,Stopper,Single Malt,no_information,no_information
357,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
358,"Yamazaki Whisky is the No.1 single malt whisky in Japan. Yamazaki Whisky is Suntory Whisky's flagship single malt. Yamazaki Mizunara Cask is blended from a selection of single malt whiskies aged entirely in Mizunara casks for at least 18 years. Suntory blenders have brought the essence of the noble Mizunara into a tantalizingly spicy liquid - reminiscent of incense, and uniquely Japanese. Through perseverance, Suntory's craftsmen have mastered this art of Mizunara cask-making, identifying the perfect trees to make their casks.",Japanese Whisky,700mL,26.5,48.0%,Japan,Yamazaki,Single Malt,no_information,no_information,no_information
359,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
360,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
361,no_information,no_information,no_information,no_information,no_information,Scotland,Glenmorangie,Single Malt,no_information,no_information,no_information
362,no_information,no_information,no_information,no_information,no_information,Tasmania,Launceston,Cork,Single Malt,no_information,no_information
363,no_information,no_information,no_information,Speyside,22,53%,Scotland,30 Year Old,Glasgow Distillery,,
364,"The limited edition Old Pulteney Clipper single malt Scotch Whisky launched in July 2014 with only 2,700 cases available world-wide.  The commemorative bottle is matured in ex-bourbon and ex-sherry casks.",Scotch Whisky,700mL,Highland,25.4,46%,Scotland,Old Pulteney,Single Malt,no_information,no_information
365,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
366,"Glenmorangie Grand Vintage Malt 1990 marks this year of change at the Distillery, but is also memorable for another reason. The barley harvest from the previous summer proved problematic for whisky makers in 1990. It was hard to process through Scotland's distilleries and only small quantities of new-make spirit were produced. Against the odds - and to the surprise of its creators – Glenmorangie's spirit proved sublime. Nurtured for a quarter of a century in ex-bourbon casks, with a small parcel in ex-sherry casks, the result is Glenmorangie Grand Vintage Malt 1990 – a floral, fruity expression exhibiting an extraordinary level of finesse and vibrancy. The aroma is a veritable cornucopia of heady floral and fruity notes; heather honey, honeysuckle and freesia mingle with orange blossom, candied fruits, mandarin, pear and apple. The mouthfeel is silky, creamy and mouth coating, delightfully mellow and gentle.",700mL,23.7,43%,Scotland,Glenmorangie,Single Malt,no_information,no_information,no_information,no_information
367,"Bags of character, plenty of energy; this Caol Ila may enjoy all the wisdom of maturity but still knows how to dance. Complex, mature and well structured, it combines a palate and finish rich in mature peat smoke with elegantly drying, herbal accents to create a really pungent, moreish malt.",Scotch Whisky,700mL,Islay,30.4,55.10%,Scotland,30 Year Old,Caol Ila,Cork,Single Malt
368,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
369,"Joadja Distillery Single Malt Whisky is handcrafted in the Southern Highlands of New South Wales, using 100% Australian barley and pristine water from our on-site spring. Double-distilled in our Australian made copper pot stills, the “new make” is then matured in carefully selected ex-oloroso American oak barrels to impart a balanced sweetness and complexity. Joadja Whisky is dedicated to the hundreds of Scottish mining families who migrated to Joadja Creek in the late 1800’s to work the rich kerosene shale and coal seams",Australian Whisky,200mL,Sydney,7.7,48%,Australia,New South Wales,Joadja,Cork,Single Malt
370,"A true Sherry Bomb, this expression from arguably one of the most authentic paddock to bottle distilleries in the country serves up another truly aromatic whisky. Dates, figs and burnt toffee together with a sublime long finish is just the start. ",Whisky,500mL,Sydney,19,48%,Australia,New South Wales,Joadja Distillery,Stopper,Single Malt
371,no_information,no_information,no_information,no_information,18,46%,Australia,Tasmania,Launceston,Cork,Single Malt
372,"Dailuaine (pronounced ‘dal-u-ayn’) is in the heart of the Spey Valley amongst a cluster of distilleries and is owned by Diageo. This Whisky is aromatic with hints of sweet figs and dates. Earthy and floral aromas develop. Sweet and fruity with stewed pears and ripe banana. Hints of almonds and a slight menthol edge. Rich and mouth coating with dried fruits, and a slightly peppery edge. Dark chocolate and citrus zest flavours linger. Creamy and fruity with a slight peppery edge, milk chocolate, soda cream and raspberries. A light smokiness lingers",Scotch Whisky,700mL,Speyside,25.4,46.00%,Scotland,Gordon & Macphail,Cork,Single Malt,no_information
373,"A very compelling, moreish and appetising Mortlach for those who like their whisky robust. Astonishingly complex throughout and characterised by a fine interplay of meaty notes, malty sweetness and balancing citrus.",Scotch Whisky,500mL,Speyside,17.1,43.40%,Scotland,18 Year Old,Mortlach,Cork,Single Malt
374,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
375,"Highland Park Leif Eriksson is a peaty single malt scotch whisky matured in American oak casks from bourbon and sherry. Yellow gold in colour, it is honey and orange tinged on the nose, and boasts vanilla, spicy sweet barley sugar and a hint of grape on the palate. Finishes sweet and peaty.",Scotch Whisky,700mL,Highland,23,40.00%,Scotland,Highland Park,Single Malt,no_information,no_information
376,"The Glenlivet Single Cask Series is a journey through one of the original smuggling trails out of the Glenlivet valley to the large Scottish market  town of Perth. Each cask has been named after a key landmark on this smuggling route. The Glenlivet Ordachory has aromas of apricot jam, spicy ginger, raisins and rich, dark luxurious chocolate. A delicious sweet and fruity mix of orange marmalade, red apples, treacle toffee and moist gingerbread. A dry and spicy finish.",Scotch Whisky,700mL,Speyside,31,56.20%,Scotland,17 Year Old,The Glenlivet,Single Malt,no_information
377,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
378,"The very best of The Macallan’s oldest maturing stock and from the greatest range of vintage single malts ever released. Every year the range is augmented by the introduction of a new vintage release. The full collection of vintages represent a liquid history of The Macallan, offering insights into the aroma and flavours characteristic of this great single malt. Distilled in 1990 and bottled 22 years later, this single sherry butt yielded just 481 bottles. A long, warming, classic expression of the distillery style, showing chocolates, dried fruits, treacle and warm spices. 1 bottle only.",Scotch Whisky,700mL,Speyside,32.1,58.2%,Scotland,22 Year Old,The Macallan,Cork,Single Malt
379,"This was distilled in 1985 and matured in a refill sherry hogshead. Released as a Family Cask in 2007, this single cask Glenfarclas is an elegant, fruity dram. Notes of cooked apples and pears. Touch of warm pastry, spice. Oak. The palate is thick with honey, jam and nuts with a pinch of pepper.",700mL,Speyside,24.3,44%,Scotland,30 Year Old,Glenfarclas,Cork,Single Malt,no_information
380,"A very rare whisky from 1973 - a whisky that began its life amid the reawakening of the distillery: a true milestone in the brand's history. It is the rarest whisky ever made at Tobermory distillery.
Nose: waves of dark chocolate, tobacco, Sherry-soaked raisins and roasted chestnuts.",Whisky,700mL,26.4,47.7%,Scotland,42 Year Old,Tobermory,Cork,Single Malt,no_information
381,"Ultra rare. This is our elegant, floral Bruichladdich with intense, full-term sherry maturation. First filled into Oloroso butts in 1986, this spirit lay untouched in our Lochside warehouses until 2012. Already 26 years old, when our then master distiller Jim McEwan decided to supercharge this sublime single malt by filling it into our privileged parcel of Pedro Ximinez butts from winemaker Jan Pettersen at Bodega Fernando de Castilla. Poignantly, this dram is made up of our very last seven casks of 1986 spirit. The magnificent seven. This is a dram with a history and a back story that will be hard to beat.",Scotch Whisky,700mL,25,44.6%,Scotland,32 Year Old,Bruichladdich,Single Malt,no_information,no_information
382,"This unique distilled single malt whisky is matured in bourbon barrels and finished in Madeira casks to impart a generous flavour of subtle complexity. The Madeira finish single malt Welsh whisky defines Perderyn's ‘house style of whiskies’. Distilled in their unique copper pot still, matured in bourbon barrels, finished in rich Madeira wine casks and bottled at premium strength, this single malt whisky is smooth, light in character and softly golden in colour. At a generous 46% ABV, it has a classic freshness with aromas of cream toffee, rich fruit and raisins. The palate is crisp and finely rounded, with the sweetness to balance an appetising dryness. Notes of tropical fruit, raisins and vanilla persist in the finish.",Whisky,700mL,25.4,46.00%,Wales,Penderyn,Cork,Single Malt,no_information,no_information
383,no_information,no_information,no_information,25.9,47%,Ireland,10 Year Old,Egan's,Cork,Single Malt,no_information
384,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
385,"Matured in refill sherry hogsheads, this light fragrant malt is an excellent example of unpeated single malt from Islay.",700mL,Islay,29,53.3%,Scotland,Gordon & MacPhail,Cork,Single Malt,no_information,no_information
386,"Aged in a pair of refill sherry casks, this 1998-vintage Clynelish was distilled on 15 December 1998, aged for 15 years and bottled on 5 November 2014 at a cask strength of 58% by Gordon &amp; MacPhail.",700mL,32,58%,Scotland,Gordon & MacPhail,Cork,Single Malt,no_information,no_information,no_information
387,"Rich and deep with distinctive smoke, peat and seaside minerality - this expression is unmistakeably Laphroaig. This Single malt Scotch Whisky is a result of liquid being drawn from a selection of casks including first-fill sherry butts, smaller quarter casks and the most precious stock capturing the timeless passion and very essence of the Laphroaig Distillery.",Scotch Whisky,700mL,Islay,26.5,48%,Scotland,Laphroaig,Single Malt,no_information,no_information
388,"Founded in 1890 by Michel Grallet the Rozelieures distillery is located in a small village in the Lorraine region in the North- East of France, well know for the quality of the ‘eaux de vie’ produced there. Surrounded by malting barley fields, the distillery is located next to the Euron River.  Rozelieures Tourbé Collection whisky is created through a traditional double distillation process using peated malts and matured in ex-Bourbon casks, resulting in a smooth balance of peated and vanilla aromas.",French Whisky,700mL,Lorraine,22,40%,France,G.Rozelieures,Cork,Single Malt,no_information
389,"Celebratory bottling of 13 Year Old Irish Single Malt from Teeling, Ireland's leading independent Irish whiskey maker. The second limited edition bottling in the Revival Commemorative Series, this 13 Year Old Single Malt Irish whiskey was distilled in 2002, then initially matured in Bourbon barrels for the first 12 Years before it was given an extra years maturation in ex-Calvados casks and bottled at 46% with no chill filtration to create a truly unique Irish whiskey taste experience. Limited to 10,000 decanter bottles worldwide and only 120 for Australia.",Single Malt Whiskey,700mL,25.4,46.00%,Ireland,Teeling,Cork,Single Malt,no_information,no_information
390,,500mL,18.6,47%,France,12 Year Old,Michel Couvreur,Cork,Single Malt,no_information,no_information
391,"Kavalan Single Malt Whisky is very fragrant with the scent of tropical fruits, vanilla and mango. You get the taste of spicy barley mixed with mango and a creamy richness.",Whisky,700mL,22.1,40.00%,Taiwan,Kavalan,Single Malt,no_information,no_information,no_information
392,Triple Distilled and matured slowly in American Bourbon casks. The result is a subtle lowland Single Malt with the sweet aromas of vanilla and coconut.,Scotch Whisky,700mL,Lowland,Auchentoshan Classic,22,40.00%,Scotland,Auchentoshan,Single Malt,no_information
393,"This beautiful Benromach Wood Finish is matured in First Fill Bourbon casks and is finished for 25 months in hand-selected casks from the illustrious Château Cissac within the Appellation Haut-Médoc Contrôlée in South-western France. Pour a good dram into a glass, noticing the dark gold colour, swirl it around and take some little sniffs to enjoy the fabulous influence of the Château Cissac casks with melon notes, red apples, delicate and zesty orange peel and dark chocolate. There’s also an underlying floral note and a delightful charred oak edge... the Benromach signature.",700mL,Speyside,23.7,45%,Scotland,Benromach,Cork,Single Malt,no_information,no_information
394,"Bottled at 50% ABV and peated to a lower level than our other releases, Kilchoman 100% Islay 5th Edition Single Malt Scotch Whisky 700mL has a lighter, fresher feel to it. Citrus and lemon notes come through with soft peat smoke and a long smooth finish.",Scotch Whisky,700mL,Islay,27.6,50.00%,Scotland,Kilchoman,Cork,Single Malt,no_information
395,no_information,no_information,22,40%,Scotland,19 Year Old,Glenfiddich,Cork,Single Malt,no_information,no_information
396,no_information,no_information,no_information,no_information,no_information,no_information,Inchmurrin,Cork,Single Malt,no_information,no_information
397,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
398,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information,no_information
